idx,date,area,dayAvgRhm,dayAvgTa,dayAvgWs,dayMaxTa,dayMinRhm,daySumRn,daySumSs,paCropName,paCropSpeId
483,2018-04-20,평택,54,16,1,27,29,0,0,무,PA130401
484,2018-04-13,평택,40,13,2,20,16,0,0,무,PA130401
485,2018-04-19,평택,48,13,1,22,13,0,0,무,PA130401
486,2018-04-01,평택,71,14,1,19,48,0,0,무,PA130401
487,2018-04-03,평택,70,18,2,24,50,0,0,무,PA130401
488,2018-04-08,평택,56,7,2,12,24,0,0,무,PA130401
489,,,0,0,0,0,0,0,0,,
490,,,0,0,0,0,0,0,0,,
491,2018-04-10,평택,51,16,2,24,27,1,0,무,PA130401
492,2018-04-29,평택,57,15,1,24,27,0,0,무,PA130401
493,2018-04-16,평택,57,10,1,18,34,0,0,무,PA130401
494,2018-04-22,평택,66,15,2,19,46,1,0,무,PA130401
495,,,0,0,0,0,0,0,0,,
496,2018-05-16,평택,86,24,1,26,74,1,0,무,PA130401
497,2018-05-10,평택,74,14,2,22,45,0,0,무,PA130401
498,2018-05-18,평택,93,17,2,20,76,2,0,무,PA130401
499,2018-05-28,평택,65,20,1,30,38,0,0,무,PA130401
500,2018-05-12,평택,95,14,1,16,64,29,0,무,PA130401
501,2018-05-04,평택,46,14,4,20,20,0,0,무,PA130401
502,2018-05-17,평택,93,22,1,25,79,15,0,무,PA130401
503,2018-05-07,평택,70,18,1,24,44,0,0,무,PA130401
504,2018-05-02,평택,88,15,2,21,70,9,0,무,PA130401
505,2018-05-08,평택,61,17,2,23,43,0,0,무,PA130401
506,2018-05-30,평택,82,19,2,26,54,5,0,무,PA130401
507,2018-05-21,평택,61,17,2,23,46,0,0,무,PA130401
508,2018-05-06,평택,94,15,1,19,65,24,0,무,PA130401
509,2018-05-11,평택,64,16,1,22,23,0,0,무,PA130401
510,2018-05-13,평택,86,15,2,19,62,1,0,무,PA130401
511,2018-05-05,평택,55,17,2,25,23,0,0,무,PA130401
512,2018-05-25,평택,54,19,1,26,23,0,0,무,PA130401
513,2018-05-15,평택,68,23,1,29,39,0,0,무,PA130401
514,2018-05-20,평택,49,16,1,22,32,0,0,무,PA130401
515,2018-05-23,평택,69,17,3,22,40,8,0,무,PA130401
516,2018-05-22,평택,79,18,1,24,47,12,0,무,PA130401
517,2018-05-24,평택,58,18,2,25,30,0,0,무,PA130401
518,2018-05-31,평택,70,19,1,26,49,0,0,무,PA130401
519,2018-05-14,평택,77,18,1,25,52,0,0,무,PA130401
520,2018-05-27,평택,64,19,1,25,43,0,0,무,PA130401
521,2018-05-19,평택,61,17,2,23,41,0,0,무,PA130401
522,2018-05-01,평택,75,20,1,24,55,0,0,무,PA130401
523,2018-05-09,평택,59,15,2,22,33,0,0,무,PA130401
524,2018-05-26,평택,61,20,1,29,26,0,0,무,PA130401
525,2018-05-03,평택,63,11,4,16,35,0,0,무,PA130401
526,2018-05-29,평택,75,21,1,27,53,2,0,무,PA130401
527,2018-06-06,평택,72,22,2,29,49,0,0,무,PA130401
528,2018-06-04,평택,63,21,1,27,37,0,0,무,PA130401
529,2018-06-23,평택,62,23,2,30,32,0,0,무,PA130401
530,2018-06-05,평택,62,23,1,29,37,0,0,무,PA130401
531,2018-06-03,평택,57,22,1,30,22,0,0,무,PA130401
532,2018-06-24,평택,64,25,2,33,24,0,0,무,PA130401
533,2018-06-08,평택,71,21,2,26,55,0,0,무,PA130401
534,2018-06-15,평택,67,21,2,26,46,11,0,무,PA130401
535,2018-06-14,평택,72,21,2,26,54,0,0,무,PA130401
536,2018-06-11,평택,69,20,1,24,53,12,0,무,PA130401
537,2018-06-17,평택,74,21,1,28,46,0,0,무,PA130401
538,,,0,0,0,0,0,0,0,,
539,2018-06-13,평택,75,21,1,26,53,0,0,무,PA130401
540,2018-06-02,평택,57,21,1,29,22,0,0,무,PA130401
541,2018-06-18,평택,66,23,1,30,43,0,0,무,PA130401
542,2018-06-19,평택,74,21,1,24,57,0,0,무,PA130401
543,2018-06-09,평택,68,22,2,29,45,0,0,무,PA130401
544,2018-06-01,평택,62,22,2,29,35,0,0,무,PA130401
545,2018-06-28,평택,91,23,1,26,78,9,0,무,PA130401
546,2018-06-16,평택,60,21,2,28,34,0,0,무,PA130401
547,2018-06-12,평택,74,20,1,26,50,2,0,무,PA130401
548,2018-06-30,평택,89,23,1,29,63,5,0,무,PA130401
549,2018-06-10,평택,64,21,3,26,47,1,0,무,PA130401
550,2018-06-29,평택,78,25,1,29,57,0,0,무,PA130401
551,2018-06-26,평택,90,22,2,25,50,101,0,무,PA130401
552,2018-06-20,평택,73,22,2,28,48,0,0,무,PA130401
553,2018-06-22,평택,56,24,1,32,26,0,0,무,PA130401
554,2018-06-25,평택,64,25,1,33,33,0,0,무,PA130401
555,2018-06-27,평택,81,23,2,29,57,0,0,무,PA130401
556,2018-06-21,평택,64,22,2,28,33,0,0,무,PA130401
557,2018-06-07,평택,75,21,1,29,36,0,0,무,PA130401
558,2018-07-08,평택,65,22,2,27,51,0,0,무,PA130401
559,2018-07-03,평택,79,26,1,32,58,0,0,무,PA130401
560,2018-07-05,평택,84,25,1,31,56,22,0,무,PA130401
561,2018-07-12,평택,79,27,1,31,64,0,0,무,PA130401
562,2018-07-20,평택,72,27,1,35,48,0,0,무,PA130401
563,2018-07-13,평택,76,28,1,32,58,0,0,무,PA130401
564,2018-07-21,평택,65,29,1,36,31,0,0,무,PA130401
565,2018-07-22,평택,66,29,1,37,41,0,0,무,PA130401
566,2018-07-23,평택,68,30,1,35,44,0,0,무,PA130401
567,2018-07-04,평택,77,26,2,31,56,0,0,무,PA130401
568,2018-07-15,평택,77,27,1,33,48,0,0,무,PA130401
569,2018-07-14,평택,75,27,1,32,56,0,0,무,PA130401
570,2018-07-25,평택,72,29,1,34,56,0,0,무,PA130401
571,2018-07-06,평택,70,23,2,28,54,0,0,무,PA130401
572,2018-07-24,평택,73,30,1,36,46,0,0,무,PA130401
573,2018-07-29,평택,63,30,1,35,43,0,0,무,PA130401
574,2018-07-27,평택,79,29,1,36,50,0,0,무,PA130401
575,2018-07-31,평택,62,30,1,37,39,0,0,무,PA130401
576,2018-07-26,평택,75,29,1,34,53,0,0,무,PA130401
577,2018-07-09,평택,95,20,2,22,71,23,0,무,PA130401
578,2018-07-18,평택,76,27,1,34,47,0,0,무,PA130401
579,2018-07-07,평택,62,23,1,29,48,0,0,무,PA130401
580,2018-07-16,평택,73,27,1,34,40,0,0,무,PA130401
581,2018-07-30,평택,64,30,1,35,46,0,0,무,PA130401
582,2018-07-11,평택,78,27,1,31,61,0,0,무,PA130401
583,2018-07-10,평택,88,24,1,28,75,1,0,무,PA130401
584,2018-07-19,평택,74,27,1,33,49,0,0,무,PA130401
585,2018-07-01,평택,99,21,2,23,92,116,0,무,PA130401
586,2018-07-02,평택,95,23,1,27,75,75,0,무,PA130401
587,2018-07-17,평택,76,27,1,32,53,0,0,무,PA130401
588,2018-07-28,평택,87,28,1,35,57,11,0,무,PA130401
589,2018-08-05,평택,77,29,2,34,52,0,0,무,PA130401
590,2018-08-02,평택,66,31,1,39,39,0,0,무,PA130401
591,2018-08-17,평택,50,26,3,33,34,0,0,무,PA130401
